#Comando para inserir o csv no banco
\copy desempenho (faltas, nota, aluno_id, disciplina_id) FROM '/home/ricajust/Projects/tcc_edugo/monolito/edugo_tcc/src/main/java/com/edugo/edugo_tcc/mocks/desempenho.csv' WITH (FORMAT CSV, HEADER);  

faltas,nota,aluno_id,disciplina_id
2,8.1,19094345-a2da-465b-aa42-246be6199151,2
1,7.5,19094345-a2da-465b-aa42-246be6199151,52
0,9.3,19094345-a2da-465b-aa42-246be6199151,102
4,6.8,19094345-a2da-465b-aa42-246be6199151,152
0,8.9,19094345-a2da-465b-aa42-246be6199151,153
3,7.2,e242b257-8ada-4107-a0ff-bed7daab1123,154
0,9,e242b257-8ada-4107-a0ff-bed7daab1123,155
6,6.5,e242b257-8ada-4107-a0ff-bed7daab1123,156
1,8.7,e242b257-8ada-4107-a0ff-bed7daab1123,157
2,7.8,e242b257-8ada-4107-a0ff-bed7daab1123,158
0,9.4,0c9cb1ab-1d5e-499a-9c9d-afe43efd0bf2,159
7,6.3,0c9cb1ab-1d5e-499a-9c9d-afe43efd0bf2,160
1,8.2,0c9cb1ab-1d5e-499a-9c9d-afe43efd0bf2,161
3,7.7,0c9cb1ab-1d5e-499a-9c9d-afe43efd0bf2,162
0,9.9,0c9cb1ab-1d5e-499a-9c9d-afe43efd0bf2,163
5,7,cbbc18cc-569d-49e4-95af-2cec0a62dcbd,164
0,8.6,cbbc18cc-569d-49e4-95af-2cec0a62dcbd,165
8,6.1,cbbc18cc-569d-49e4-95af-2cec0a62dcbd,166
0,9.3,cbbc18cc-569d-49e4-95af-2cec0a62dcbd,167
2,7.4,cbbc18cc-569d-49e4-95af-2cec0a62dcbd,168
1,8.5,eb279f4d-37f1-406a-a53f-ed89bdd252aa,169
3,7.9,eb279f4d-37f1-406a-a53f-ed89bdd252aa,170
0,9.6,eb279f4d-37f1-406a-a53f-ed89bdd252aa,171
9,6,eb279f4d-37f1-406a-a53f-ed89bdd252aa,172
2,8.1,eb279f4d-37f1-406a-a53f-ed89bdd252aa,173
4,7.3,8c6566a6-a451-4be7-9ede-5cc1b53ba843,174
0,9.7,8c6566a6-a451-4be7-9ede-5cc1b53ba843,1
7,6.7,8c6566a6-a451-4be7-9ede-5cc1b53ba843,2
1,8.4,8c6566a6-a451-4be7-9ede-5cc1b53ba843,52
5,7,8c6566a6-a451-4be7-9ede-5cc1b53ba843,102
0,9.2,0e1ec798-7bcb-4246-92c6-b1194c9ff64d,152
6,6.9,0e1ec798-7bcb-4246-92c6-b1194c9ff64d,153
1,8.6,0e1ec798-7bcb-4246-92c6-b1194c9ff64d,154
3,7.1,0e1ec798-7bcb-4246-92c6-b1194c9ff64d,155
0,9.8,0e1ec798-7bcb-4246-92c6-b1194c9ff64d,156
2,7.6,ccfcb48e-2351-47ac-b77f-3e6a9b909189,157
0,9.1,ccfcb48e-2351-47ac-b77f-3e6a9b909189,158
7,6.4,ccfcb48e-2351-47ac-b77f-3e6a9b909189,159
1,8.3,ccfcb48e-2351-47ac-b77f-3e6a9b909189,160
